Az,Ay,Ax
-1.9219334,0.313368615,1.826446489
-1.584270594,0.459007504,1.847121028
-1.342957746,0.377438644,1.566173796
-1.102012855,0.325784444,1.242328211
-0.704229635,0.21197511,0.903895006
-0.295828866,0.143024323,0.633991146
-0.047799862,0.276695127,0.507618975
0.042462885,0.383465649,0.504262943
0.010378771,0.432314728,0.497665152
-0.07346768,0.493290882,0.58046823
-0.035140287,0.629100452,0.695160193
-0.051627311,0.756200645,0.799241622
-0.331968832,0.758638101,0.819692289
-0.593871756,0.745084208,0.882947495
-0.606054507,0.804991856,0.975245547
-0.571686958,0.826582341,1.077420265
-0.556114126,0.741915514,1.194292495
-0.486614473,0.629288083,1.304099316
-0.366275591,0.560715482,1.233831309
-0.256334914,0.491738392,1.005264545
-0.176397016,0.37368426,0.793297327
-0.074456252,0.336704482,0.509047583
0.105509708,0.452657259,0.195053786
0.303597162,0.57648939,-0.001694821
0.326598099,0.613715251,-0.055720718
0.206000565,0.615140315,0.031062059
0.121509241,0.602315321,0.164846571
0.116146691,0.55077861,0.306252024
0.227820621,0.740815444,0.646437371
0.252304198,0.930435514,0.840979407
0.204898742,1.145051494,0.90407628
0.198339821,1.380820736,0.944776174
0.280158858,1.563619436,1.023165236
0.38198374,1.648896503,1.074303887
0.450308503,1.613542866,1.105500112
0.500526094,1.465388194,1.082506775
0.578455868,1.309094055,1.072388116
0.594568652,1.168601296,1.043318089
0.50503305,0.816146872,0.899742562
0.388174996,0.307705767,0.638404579
0.525532817,-0.031997897,0.471892413
0.775017427,-0.239362298,0.522786441
0.895637173,-0.443702383,0.56769292
1.01518812,-0.375928824,0.928023192
1.208235972,-0.270258956,1.314996265
1.392843475,-0.251827228,1.601589978
1.452933494,-0.251987387,1.62755444
1.178088671,-0.187316469,1.468385622
0.892116451,-0.114863812,1.198909341
0.847823574,-0.354355874,0.691477705
0.823862561,-0.750444858,0.011555998
0.924442704,-1.012509402,-0.564784339
1.163581861,-1.253472706,-1.024640569
1.163832036,-1.731407029,-1.361848325
0.932387087,-2.077757291,-1.199083821
0.949784796,-2.116706323,-1.01214203
0.974137586,-1.778257627,-0.497162171
0.457975093,-1.142321192,0.418627855
0.010683891,-0.835075444,1.019093456
0.044800388,-0.68716218,1.409531575
-0.101056528,-0.317502938,1.757761367
-0.527879088,0.367091437,1.952078947
-0.911676453,0.826541425,1.787688888
-1.346239544,1.080946394,1.207076865
-1.857453621,1.142868889,0.277300436
-2.243613624,0.914865605,-0.464238391
-2.584385209,0.599506693,-0.809892195
-2.637880653,0.280009951,-0.828691881
-2.357038635,-0.083509473,-0.616149492
-1.959480164,-0.400232075,-0.345914538
-1.457202842,-0.624696079,-0.312100239
-0.986448786,-0.825082458,-0.440919803
-0.845333511,-0.981150387,-0.636192748
-0.942276759,-1.026921958,-0.758755079
-0.963958429,-0.918348186,-0.81981387
-0.874105724,-0.75575407,-0.759367
-0.669029726,-0.61039049,-0.719337187
-0.281946472,-0.565097058,-0.746625592
0.099106709,-0.416612716,-0.74064038
0.201780317,-0.130529583,-0.649289838
0.05154314,0.263828631,-0.467587993
-0.200598706,0.596996171,-0.283272478
-0.495422195,0.88321316,-0.153536968
-0.766256906,1.12452893,-0.203747982
-0.902922653,1.28805419,-0.261282454
-0.82896003,1.322748486,-0.509199266
-0.520304415,1.289910047,-0.819773538
-0.231033592,1.256916124,-1.103517122
0.013181845,1.164473403,-1.424545019
0.303001973,1.059191074,-1.650754991
0.425680404,0.952770096,-1.74151575
0.122126058,0.764568076,-1.621867042
-0.243318927,0.494358219,-1.383600722
-0.334827144,0.228343476,-1.082259522
-0.11888956,0.048366264,-0.834333686
0.209595813,-0.078068744,-0.668548957
0.350362275,-0.092537414,-0.558002424
0.280030701,-0.008279753,-0.534975476
0.164327808,0.117660749,-0.586766161
0.107673462,0.251242121,-0.691967827
0.154783442,0.381485289,-0.875442818
0.324794995,0.549320228,-1.091481232
0.437859502,0.756402889,-1.224402386
0.369178473,0.95098555,-1.214719197
0.345908364,1.120223342,-1.115551259
0.525356438,1.254642918,-1.025880925
0.808176331,1.29586574,-1.010108186
0.947985784,1.236720893,-1.074841355
0.75475483,1.25121762,-1.133238599
0.426631421,1.383290341,-1.11742962
0.182292504,1.338168174,-0.937117769
0.299926219,1.141309385,-0.75065324
