Az,Ay,Ax
-0.065507368,3.07061156,0.679535046
0.065155486,2.715932445,0.920784766
0.188080366,2.375486438,1.155378242
0.30995793,2.176346845,1.433083715
0.361432242,2.05756206,1.780308715
0.383661464,1.729267094,1.808160598
0.582265489,1.466899768,1.725008852
0.788523463,1.182228255,1.613644865
0.829893658,0.905564108,1.420708802
0.862319425,0.800527278,1.16938251
1.020722519,0.70516487,0.81573946
1.285737729,0.884179959,0.633836832
1.676475415,1.092416467,0.641444093
2.483131989,0.910752909,0.444848923
3.528960893,0.151739544,0.093577571
4.057065606,-0.801962279,0.092493794
4.240194269,-1.888733433,0.183040436
4.13886623,-2.855815548,0.270835277
3.275774067,-3.315904417,0.491167351
1.574325539,-3.876977042,0.438829809
-1.312529729,-4.949434425,-0.607329021
-2.527818688,-5.586178669,-2.505201782
-3.228459358,-5.54879791,-4.253787617
-3.870530935,-4.68839747,-3.972969565
-4.119994356,-3.310855317,-2.654494226
-3.400045759,-1.922000912,-0.751622962
-2.160422277,-1.256957041,1.163725507
-3.269237943,-0.385599738,2.462202014
-1.883940938,0.222743172,3.482749177
-1.202914485,0.024356443,3.808903331
-0.950120604,-0.432444492,3.564263969
-0.835086696,-0.977310078,2.481815938
-0.393475732,-1.451854759,0.788252903
-0.202581258,-1.782519376,-0.622958296
-0.533138762,-1.97082661,-1.666718283
-0.610516747,-1.707707589,-2.303820547
-0.535709782,-0.74868837,-2.34141495
-0.571905569,0.47689855,-1.968219643
-0.611314035,1.624163044,-1.248519175
-0.617930823,2.397504793,-0.613719343
-0.519633092,2.856390717,-0.195928523
-0.435003675,3.136163352,0.128570841
-0.421323378,3.40640828,0.309042861
-0.413766679,3.641814534,0.197636496
-0.381164532,3.672476214,-0.08761458
-0.377353303,3.465959954,-0.33178953
-0.340589361,3.376293712,-0.388322149
-0.327605961,2.942365119,-0.964167396
-0.165767193,2.57819863,-1.331442373
0.044627077,2.47009832,-1.358658296
0.221471837,2.580250886,-1.235049452
0.422547513,2.700291224,-1.110613802
0.558407936,2.640363702,-1.184821194
0.732013275,2.446371992,-1.357183548
0.842049229,2.243519516,-1.49589936
0.733616911,1.957090346,-1.500096519
0.641073213,1.618450512,-1.324435417
0.747216543,1.16099842,-1.229422552
1.131041527,0.76717972,-1.394990424
1.541203898,0.983067619,-1.472578982
2.065854672,1.409636496,-1.587550639
